Feature,Importance
SourceTTL,0.08178474636905712
SourceBytes,0.07269308948233538
RecordStateTTL,0.06193861669016542
RecordServiceDestination,0.060181579244982776
SourcePacketMeanSize,0.059589036003195345
DestinationBytes,0.04763437996931128
DestinationLoad,0.0453097730400931
ServiceCode,0.04373046784477719
RecordDestinationSourceLTM,0.04030574937215825
DestinationPacketMeanSize,0.039560226966641056
RecordServiceSource,0.035595429241891956
SourceLoad,0.030792696222310123
DestinationTTL,0.029950174249429553
TCPACKDelta,0.027924726177352557
TCPRTT,0.026774253241660023
TCPSYNACK,0.023199070793168602
FlowRate,0.022106575437216298
DestinationInterPacketTime,0.019806499278974626
Duration,0.019389227782123476
SourceInterPacketTime,0.018138013212667368
DestinationPackets,0.018135007615269254
SourceJitter,0.01745538901103442
DestinationLoss,0.01691279623997625
RecordDestinationSPortLTM,0.016140244034471438
DestinationJitter,0.015176537492296428
ProtocolCode,0.015160733821288281
SourceLoss,0.013404486571868542
SourcePackets,0.011851077953251918
RecordDestinationLTM,0.010989072192493716
SourceTCPBaseSequence,0.0091017114814036
DestinationTCPBaseSequence,0.00893304201764417
RecordSourceDPortLTM,0.008432228893745421
RecordSourceLTM,0.008390584704629531
StateCode,0.005641157617714469
ResponseBodyLength,0.004953945604164353
TransactionDepth,0.00438187571093002
RecordFlowHTTPMethods,0.004145667509880712
SourceTCPWindow,0.0030825208687695694
DestinationTCPWindow,0.0005050300472937411
IsSmallIPSPorts,0.000437213104722567
IsFTPLogin,0.00019335029922959825
RecordFTPCommands,0.00017199658841041612
