Feature,Importance
SourceTTL,0.24975110220688948
SourcePacketMeanSize,0.22561755844491585
DestinationTTL,0.12449128119704113
TCPACKDelta,0.1169005611057829
DestinationTCPWindow,0.06751818543684605
TCPSYNACK,0.05386697737542653
DestinationLoad,0.04926945530230471
DestinationPacketMeanSize,0.04281968336469794
DestinationTCPBaseSequence,0.03446133920612169
RecordStateTTL,0.018577912821082964
RecordSourceDPortLTM,0.014409766784814546
RecordSourceLTM,0.001892834637745658
SourceLoad,0.0002024146746296483
TCPRTT,0.00017268963763636074
SourceInterPacketTime,1.590986170632578e-05
TransactionDepth,1.4039532536522115e-05
RecordFlowHTTPMethods,1.2073748358226165e-05
DestinationJitter,3.8500757008398875e-06
SourceTCPWindow,1.2235226634454764e-06
RecordDestinationLTM,1.1387599436168535e-06
IsFTPLogin,2.3031555244686075e-09
RecordDestinationSourceLTM,0.0
ResponseBodyLength,0.0
RecordServiceSource,0.0
RecordFTPCommands,0.0
RecordServiceDestination,0.0
RecordDestinationSPortLTM,0.0
Duration,0.0
ProtocolCode,0.0
SourceTCPBaseSequence,0.0
SourceJitter,0.0
DestinationInterPacketTime,0.0
DestinationLoss,0.0
SourceLoss,0.0
FlowRate,0.0
DestinationBytes,0.0
SourceBytes,0.0
DestinationPackets,0.0
SourcePackets,0.0
StateCode,0.0
ServiceCode,0.0
IsSmallIPSPorts,0.0
