Trial,Accuracy,Duration,Params,BestAccuracy
0,0.699778797312797,1164.9418594837189,"{'n_d': 57, 'n_a': 8, 'n_steps': 8, 'gamma': 1.4, 'n_shared': 1, 'momentum': 0.06999999999999999, 'optimizer_function': <class 'torch.optim.adam.Adam'>, 'batch_size': 128}",0.699778797312797
1,0.06337047353760446,656.6405806541443,"{'n_d': 56, 'n_a': 12, 'n_steps': 6, 'gamma': 1.6, 'n_shared': 4, 'momentum': 0.18000000000000002, 'optimizer_function': <class 'torch.optim.sgd.SGD'>, 'batch_size': 256}",0.699778797312797
2,0.7104702605276094,970.4071481227875,"{'n_d': 38, 'n_a': 15, 'n_steps': 9, 'gamma': 1.1, 'n_shared': 2, 'momentum': 0.21000000000000002, 'optimizer_function': <class 'torch.optim.adam.Adam'>, 'batch_size': 256}",0.7104702605276094
3,0.11559888579387187,624.4927396774292,"{'n_d': 60, 'n_a': 13, 'n_steps': 10, 'gamma': 1.2, 'n_shared': 4, 'momentum': 0.29000000000000004, 'optimizer_function': <class 'torch.optim.sgd.SGD'>, 'batch_size': 256}",0.7104702605276094
4,0.7722841225626741,491.6258339881897,"{'n_d': 14, 'n_a': 8, 'n_steps': 10, 'gamma': 1.4, 'n_shared': 4, 'momentum': 0.27, 'optimizer_function': <class 'torch.optim.adam.Adam'>, 'batch_size': 1024}",0.7722841225626741
5,0.015689005407176798,322.2234709262848,"{'n_d': 35, 'n_a': 11, 'n_steps': 10, 'gamma': 1.9, 'n_shared': 2, 'momentum': 0.12, 'optimizer_function': <class 'torch.optim.sgd.SGD'>, 'batch_size': 256}",0.7722841225626741
6,0.7280435851220711,494.8192882537842,"{'n_d': 30, 'n_a': 14, 'n_steps': 10, 'gamma': 2.0, 'n_shared': 3, 'momentum': 0.3, 'optimizer_function': <class 'torch.optim.adam.Adam'>, 'batch_size': 256}",0.7722841225626741
7,0.7838358184499427,186.22203302383423,"{'n_d': 34, 'n_a': 10, 'n_steps': 5, 'gamma': 1.7000000000000002, 'n_shared': 2, 'momentum': 0.31, 'optimizer_function': <class 'torch.optim.adam.Adam'>, 'batch_size': 1024}",0.7838358184499427
8,0.0518187776503359,106.54349565505981,"{'n_d': 64, 'n_a': 13, 'n_steps': 6, 'gamma': 1.0, 'n_shared': 4, 'momentum': 0.14, 'optimizer_function': <class 'torch.optim.sgd.SGD'>, 'batch_size': 1024}",0.7838358184499427
9,0.03199246272325086,1638.0643274784088,"{'n_d': 16, 'n_a': 8, 'n_steps': 9, 'gamma': 1.7000000000000002, 'n_shared': 1, 'momentum': 0.23, 'optimizer_function': <class 'torch.optim.sgd.SGD'>, 'batch_size': 128}",0.7838358184499427
10,0.7866213337702769,432.458571434021,"{'n_d': 48, 'n_a': 10, 'n_steps': 4, 'gamma': 1.8, 'n_shared': 5, 'momentum': 0.36000000000000004, 'optimizer_function': <class 'torch.optim.adam.Adam'>, 'batch_size': 512}",0.7866213337702769
11,0.7887923971817139,374.949551820755,"{'n_d': 44, 'n_a': 10, 'n_steps': 3, 'gamma': 1.8, 'n_shared': 5, 'momentum': 0.39, 'optimizer_function': <class 'torch.optim.adam.Adam'>, 'batch_size': 512}",0.7887923971817139
12,0.7824020973291824,239.3967742919922,"{'n_d': 48, 'n_a': 10, 'n_steps': 3, 'gamma': 1.8, 'n_shared': 5, 'momentum': 0.4, 'optimizer_function': <class 'torch.optim.adam.Adam'>, 'batch_size': 512}",0.7887923971817139
13,0.7742503686711454,186.30907893180847,"{'n_d': 46, 'n_a': 10, 'n_steps': 3, 'gamma': 2.0, 'n_shared': 5, 'momentum': 0.39, 'optimizer_function': <class 'torch.optim.adam.Adam'>, 'batch_size': 512}",0.7887923971817139
14,0.7889152875634934,452.9885787963867,"{'n_d': 46, 'n_a': 11, 'n_steps': 4, 'gamma': 1.5, 'n_shared': 5, 'momentum': 0.35000000000000003, 'optimizer_function': <class 'torch.optim.adam.Adam'>, 'batch_size': 512}",0.7889152875634934
15,0.7260773390135998,166.03359293937683,"{'n_d': 23, 'n_a': 16, 'n_steps': 4, 'gamma': 1.5, 'n_shared': 5, 'momentum': 0.35000000000000003, 'optimizer_function': <class 'torch.optim.adam.Adam'>, 'batch_size': 512}",0.7889152875634934
16,0.7832623300016386,290.0002558231354,"{'n_d': 43, 'n_a': 12, 'n_steps': 4, 'gamma': 1.3, 'n_shared': 3, 'momentum': 0.35000000000000003, 'optimizer_function': <class 'torch.optim.adam.Adam'>, 'batch_size': 512}",0.7889152875634934
17,0.7767491397673275,471.0970256328583,"{'n_d': 52, 'n_a': 9, 'n_steps': 5, 'gamma': 1.6, 'n_shared': 5, 'momentum': 0.02, 'optimizer_function': <class 'torch.optim.adam.Adam'>, 'batch_size': 512}",0.7889152875634934
18,0.7828117319351139,192.08543038368225,"{'n_d': 27, 'n_a': 11, 'n_steps': 3, 'gamma': 1.5, 'n_shared': 3, 'momentum': 0.25, 'optimizer_function': <class 'torch.optim.adam.Adam'>, 'batch_size': 512}",0.7889152875634934
