Feature,Importance
SourceTCPWindow,0.49451193
DestinationTTL,0.11429451
SourceTTL,0.112511896
RecordDestinationSPortLTM,0.057200994
RecordServiceDestination,0.03452467
RecordStateTTL,0.033719234
RecordDestinationSourceLTM,0.020212635
ProtocolCode,0.016825294
ServiceCode,0.011014295
DestinationBytes,0.010398528
StateCode,0.010215525
DestinationPacketMeanSize,0.008420771
SourceBytes,0.00724103
DestinationLoad,0.00595517
SourcePacketMeanSize,0.0054627536
RecordFlowHTTPMethods,0.005431844
RecordServiceSource,0.0042771106
TransactionDepth,0.004106309
DestinationPackets,0.003889485
ResponseBodyLength,0.0034501005
SourceLoss,0.0034436309
DestinationLoss,0.0033905664
SourceLoad,0.0029764255
SourcePackets,0.0029473729
RecordSourceDPortLTM,0.0028494557
FlowRate,0.0027021882
SourceInterPacketTime,0.0022602598
Duration,0.002107318
TCPRTT,0.0013544778
SourceJitter,0.0013176393
IsFTPLogin,0.0011475257
DestinationJitter,0.0011364602
TCPSYNACK,0.0011325828
DestinationInterPacketTime,0.001128479
TCPACKDelta,0.0011190196
IsSmallIPSPorts,0.0010648685
RecordDestinationLTM,0.0010356138
RecordFTPCommands,0.0010233696
RecordSourceLTM,0.00083251204
SourceTCPBaseSequence,0.0007031176
DestinationTCPBaseSequence,0.0006629591
DestinationTCPWindow,0.0
